ID;Level;Word;Pinyin;Normalized;Meaning;Sentence;Sentence_Pinyin;Sentence_Normalized;Sentence_Meaning;Category
L3-0261;Beginner;关注;guānzhù;guanzhu;pay attention to;关注的时候别忘了砍价。;guān zhù de shí hòu bié wàng le kǎn jià 。;guan zhu de shi hou bie wang le kan jia 。;don't forget to bargain when pay attention to.;Shopping
L3-0262;Beginner;观察;guānchá;guancha;observe;观察的时候要注意安全。;guān chá de shí hòu yào zhù yì ān quán 。;guan cha de shi hou yao zhu yi an quan 。;be careful when observe.;Daily
L3-0263;Beginner;观看;guānkàn;guankan;watch;我正在观看，请稍等一下。;wǒ zhèng zài guān kàn ， qǐng shāo děng yí xià 。;wo zheng zai guan kan ， qing shao deng yi xia 。;i am watch, please wait a moment.;Activity
L3-0264;Beginner;观念;guānniàn;guannian;concept;观念改变了我的生活方式。;guān niàn gǎi biàn le wǒ de shēng huó fāng shì 。;guan nian gai bian le wo de sheng huo fang shi 。;concept changed my way of life.;Daily
L3-0265;Beginner;观众;guānzhòng;guanzhong;audience;这个观众在日常生活中很有用。;zhè ge guān zhòng zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge guan zhong zai ri chang sheng huo zhong hen you yong 。;this audience is very useful in daily life.;Daily
L3-0266;Beginner;管;guǎn;guan;tube;管是我们经常用到的东西。;guǎn shì wǒ men jīng cháng yòng dào de dōng xī 。;guan shi wo men jing chang yong dao de dong xi 。;tube is something we often use.;Daily
L3-0267;Beginner;管理;guǎnlǐ;guanli;manage;管理在门口等你很久了。;guǎn lǐ zài mén kǒu děng nǐ hěn jiǔ le 。;guan li zai men kou deng ni hen jiu le 。;manage has been waiting for you at the door for a long time.;People
L3-0268;Beginner;光;guāng;guang;light;光让人印象深刻。;guāng ràng rén yìn xiàng shēn kè 。;guang rang ren yin xiang shen ke 。;light is very impressive.;Daily
L3-0269;Beginner;光明;guāngmíng;guangming;bright;我觉得光明非常重要。;wǒ jué de guāng míng fēi cháng zhòng yào 。;wo jue de guang ming fei chang zhong yao 。;i think bright is very important.;Daily
L3-0270;Beginner;广播;guǎngbō;guangbo;radio;广播的时候要注意安全。;guǎng bō de shí hòu yào zhù yì ān quán 。;guang bo de shi hou yao zhu yi an quan 。;be careful when radio.;Daily
L3-0271;Beginner;广大;guǎngdà;guangda;the vast;你知道广大的意思吗？;nǐ zhī dào guǎng dà de yì si ma ？;ni zhi dao guang da de yi si ma ？;do you know the meaning of the vast?;Daily
L3-0272;Beginner;规定;guīdìng;guiding;regulations;规定改变了我的生活方式。;guī dìng gǎi biàn le wǒ de shēng huó fāng shì 。;gui ding gai bian le wo de sheng huo fang shi 。;regulations changed my way of life.;Daily
L3-0273;Beginner;规范;guīfàn;guifan;regulations;这个规范在日常生活中很有用。;zhè ge guī fàn zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge gui fan zai ri chang sheng huo zhong hen you yong 。;this regulations is very useful in daily life.;Daily
L3-0274;Beginner;国内;guó nèi;guo nei;domestic;国内是我们经常用到的东西。;guó nèi shì wǒ men jīng cháng yòng dào de dōng xī 。;guo nei shi wo men jing chang yong dao de dong xi 。;domestic is something we often use.;Daily
L3-0275;Beginner;国庆;guóqìng;guoqing;national day;请把国庆递给我。;qǐng bǎ guó qìng dì gěi wǒ 。;qing ba guo qing di gei wo 。;please pass me the national day.;Daily
L3-0276;Beginner;果然;guǒrán;guoran;really;果然让人印象深刻。;guǒ rán ràng rén yìn xiàng shēn kè 。;guo ran rang ren yin xiang shen ke 。;really is very impressive.;Daily
L3-0277;Beginner;果汁;guǒzhī;guozhi;juice;我觉得果汁非常重要。;wǒ jué de guǒ zhī fēi cháng zhòng yào 。;wo jue de guo zhi fei chang zhong yao 。;i think juice is very important.;Daily
L3-0278;Beginner;过程;guòchéng;guocheng;process;过程的时候要注意安全。;guò chéng de shí hòu yào zhù yì ān quán 。;guo cheng de shi hou yao zhu yi an quan 。;be careful when process.;Daily
L3-0279;Beginner;过去;guòqù;guoqu;past;过去你有空吗？;guò qù nǐ yǒu kòng ma ？;guo qu ni you kong ma ？;are you free past?;Time
L3-0280;Beginner;哈哈;hāhā;haha;ha ha;哈哈改变了我的生活方式。;hā hā gǎi biàn le wǒ de shēng huó fāng shì 。;ha ha gai bian le wo de sheng huo fang shi 。;ha ha changed my way of life.;Daily
L3-0281;Beginner;海关;hǎiguān;haiguan;customs;这个海关在日常生活中很有用。;zhè ge hǎi guān zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge hai guan zai ri chang sheng huo zhong hen you yong 。;this customs is very useful in daily life.;Daily
L3-0282;Beginner;害怕;hàipà;haipa;fear;害怕是我们经常用到的东西。;hài pà shì wǒ men jīng cháng yòng dào de dōng xī 。;hai pa shi wo men jing chang yong dao de dong xi 。;fear is something we often use.;Daily
L3-0283;Beginner;行;háng;hang;ok;这个想法行得通。;zhè ge xiǎng fǎ xíng dé tōng 。;zhe ge xiang fa xing de tong 。;this idea works.;Daily
L3-0284;Beginner;好好;hǎohǎo;haohao;well;好好让人印象深刻。;hǎo hǎo ràng rén yìn xiàng shēn kè 。;hao hao rang ren yin xiang shen ke 。;well is very impressive.;Daily
L3-0285;Beginner;好奇;hàoqí;haoqi;curious;我觉得好奇非常重要。;wǒ jué de hào qí fēi cháng zhòng yào 。;wo jue de hao qi fei chang zhong yao 。;i think curious is very important.;Daily
L3-0286;Beginner;合;hé;he;combine;合的时候要注意安全。;hé de shí hòu yào zhù yì ān quán 。;he de shi hou yao zhu yi an quan 。;be careful when combine.;Daily
L3-0287;Beginner;合法;héfǎ;hefa;legitimate;你知道合法的意思吗？;nǐ zhī dào hé fǎ de yì si ma ？;ni zhi dao he fa de yi si ma ？;do you know the meaning of legitimate?;Daily
L3-0288;Beginner;合格;hégé;hege;qualified;合格改变了我的生活方式。;hé gé gǎi biàn le wǒ de shēng huó fāng shì 。;he ge gai bian le wo de sheng huo fang shi 。;qualified changed my way of life.;Daily
L3-0289;Beginner;合理;hélǐ;heli;reasonable;我的合理身体很健康。;wǒ de hé lǐ shēn tǐ hěn jiàn kāng 。;wo de he li shen ti hen jian kang 。;my reasonable is very healthy.;Family
L3-0290;Beginner;合作;hézuò;hezuo;cooperate;合作是我们经常用到的东西。;hé zuò shì wǒ men jīng cháng yòng dào de dōng xī 。;he zuo shi wo men jing chang yong dao de dong xi 。;cooperate is something we often use.;Daily
L3-0291;Beginner;和平;hépíng;heping;peace;请把和平递给我。;qǐng bǎ hé píng dì gěi wǒ 。;qing ba he ping di gei wo 。;please pass me the peace.;Daily
L3-0292;Beginner;红茶;hóngchá;hongcha;black tea;今天晚上我们吃红茶吧。;jīn tiān wǎn shàng wǒ men chī hóng chá ba 。;jin tian wan shang wo men chi hong cha ba 。;let's eat black tea tonight.;Food
L3-0293;Beginner;红酒;hóngjiǔ;hongjiu;red wine;红酒让人看起来很精神。;hóng jiǔ ràng rén kàn qǐ lái hěn jīng shén 。;hong jiu rang ren kan qi lai hen jing shen 。;red wine makes people look very energetic.;Appearance
L3-0294;Beginner;后果;hòuguǒ;houguo;consequences;后果的时候要注意安全。;hòu guǒ de shí hòu yào zhù yì ān quán 。;hou guo de shi hou yao zhu yi an quan 。;be careful when consequences.;Daily
L3-0295;Beginner;后面;hòumiàn;houmian;behind;我的后面没有人。;wǒ de hòu miàn méi yǒu rén 。;wo de hou mian mei you ren 。;there is no one behind me.;Daily
L3-0296;Beginner;后年;hòunián;hounian;the year after tomorrow;请在后年之前完成任务。;qǐng zài hòu nián zhī qián wán chéng rèn wù 。;qing zai hou nian zhi qian wan cheng ren wu 。;please finish the task before the year after tomorrow.;Time
L3-0297;Beginner;互联网;hùliánwǎng;hulianwang;internet;这个互联网在日常生活中很有用。;zhè ge hù lián wǎng zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge hu lian wang zai ri chang sheng huo zhong hen you yong 。;this internet is very useful in daily life.;Daily
L3-0298;Beginner;互相;hùxiāng;huxiang;each other;互相是我们经常用到的东西。;hù xiāng shì wǒ men jīng cháng yòng dào de dōng xī 。;hu xiang shi wo men jing chang yong dao de dong xi 。;each other is something we often use.;Daily
L3-0299;Beginner;划船;huáchuán;huachuan;boating;请把划船递给我。;qǐng bǎ huá chuán dì gěi wǒ 。;qing ba hua chuan di gei wo 。;please pass me the boating.;Daily
L3-0300;Beginner;华人;huárén;huaren;chinese;华人让人印象深刻。;huá rén ràng rén yìn xiàng shēn kè 。;hua ren rang ren yin xiang shen ke 。;chinese is very impressive.;Daily
L3-0301;Beginner;化（现代化）;huà (xiàndàihuà);hua (xiandaihua);modernization;我觉得化（现代化）非常重要。;wǒ jué de huà （ xiàn dài huà ） fēi cháng zhòng yào 。;wo jue de hua （ xian dai hua ） fei chang zhong yao 。;i think modernization is very important.;Daily
L3-0302;Beginner;话剧;huàjù;huaju;stage play;话剧完了告诉我一声。;huà jù wán le gào sù wǒ yī shēng 。;hua ju wan le gao su wo yi sheng 。;tell me after you finish stage play.;Activity
L3-0303;Beginner;话题;huàtí;huati;topic;你知道话题的意思吗？;nǐ zhī dào huà tí de yì si ma ？;ni zhi dao hua ti de yi si ma ？;do you know the meaning of topic?;Daily
L3-0304;Beginner;欢乐;huānlè;huanle;joy;欢乐改变了我的生活方式。;huān lè gǎi biàn le wǒ de shēng huó fāng shì 。;huan le gai bian le wo de sheng huo fang shi 。;joy changed my way of life.;Daily
L3-0305;Beginner;环;huán;huan;ring;这个环在日常生活中很有用。;zhè ge huán zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge huan zai ri chang sheng huo zhong hen you yong 。;this ring is very useful in daily life.;Daily
L3-0306;Beginner;环保;huánbǎo;huanbao;environmental protection;环保是我们经常用到的东西。;huán bǎo shì wǒ men jīng cháng yòng dào de dōng xī 。;huan bao shi wo men jing chang yong dao de dong xi 。;environmental protection is something we often use.;Daily
L3-0307;Beginner;环境;huánjìng;huanjing;environment;请把环境递给我。;qǐng bǎ huán jìng dì gěi wǒ 。;qing ba huan jing di gei wo 。;please pass me the environment.;Daily
L3-0308;Beginner;会议;huìyì;huiyi;meeting;会议的环境非常舒适。;huì yì de huán jìng fēi cháng shū shì 。;hui yi de huan jing fei chang shu shi 。;the environment at meeting is very comfortable.;Office
L3-0309;Beginner;会员;huìyuán;huiyuan;members;我觉得会员非常重要。;wǒ jué de huì yuán fēi cháng zhòng yào 。;wo jue de hui yuan fei chang zhong yao 。;i think members is very important.;Daily
L3-0310;Beginner;活;huó;huo;live;活的时候要注意安全。;huó de shí hòu yào zhù yì ān quán 。;huo de shi hou yao zhu yi an quan 。;be careful when live.;Daily
L3-0311;Beginner;火;huǒ;huo;fire;你知道火的意思吗？;nǐ zhī dào huǒ de yì si ma ？;ni zhi dao huo de yi si ma ？;do you know the meaning of fire?;Daily
L3-0312;Beginner;机器;jīqì;jiqi;machine;机器改变了我的生活方式。;jī qì gǎi biàn le wǒ de shēng huó fāng shì 。;ji qi gai bian le wo de sheng huo fang shi 。;machine changed my way of life.;Daily
L3-0313;Beginner;积极;jījí;jiji;positive;这个积极在日常生活中很有用。;zhè ge jī jí zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge ji ji zai ri chang sheng huo zhong hen you yong 。;this positive is very useful in daily life.;Daily
L3-0314;Beginner;基本;jīběn;jiben;basic;基本是我们经常用到的东西。;jī běn shì wǒ men jīng cháng yòng dào de dōng xī 。;ji ben shi wo men jing chang yong dao de dong xi 。;basic is something we often use.;Daily
L3-0315;Beginner;基本上;jīběnshàng;jibenshang;basically;我们一起基本上吧！;wǒ men yì qǐ jī běn shàng ba ！;wo men yi qi ji ben shang ba ！;let's basically together!;Activity
L3-0316;Beginner;基础;jīchǔ;jichu;foundation;基础让人印象深刻。;jī chǔ ràng rén yìn xiàng shēn kè 。;ji chu rang ren yin xiang shen ke 。;foundation is very impressive.;Daily
L3-0317;Beginner;及时;jíshí;jishi;timely;及时的天气真不错。;jí shí de tiān qì zhēn bù cuò 。;ji shi de tian qi zhen bu cuo 。;the weather timely is really nice.;Time
L3-0318;Beginner;…极了;…jí le;…ji le;…extremely;…极了的时候要注意安全。;… jí le de shí hòu yào zhù yì ān quán 。;… ji le de shi hou yao zhu yi an quan 。;be careful when …extremely.;Daily
L3-0319;Beginner;集体;jítǐ;jiti;collective;你知道集体的意思吗？;nǐ zhī dào jí tǐ de yì si ma ？;ni zhi dao ji ti de yi si ma ？;do you know the meaning of collective?;Daily
L3-0320;Beginner;集中;jízhōng;jizhong;concentrated;集中改变了我的生活方式。;jí zhōng gǎi biàn le wǒ de shēng huó fāng shì 。;ji zhong gai bian le wo de sheng huo fang shi 。;concentrated changed my way of life.;Daily
L3-0321;Beginner;计算;jìsuàn;jisuan;calculate;计算我要去参加考试。;jì suàn wǒ yào qù cān jiā kǎo shì 。;ji suan wo yao qu can jia kao shi 。;i have to take an exam calculate.;Time
L3-0322;Beginner;记录;jìlù;jilu;record;记录是我们经常用到的东西。;jì lù shì wǒ men jīng cháng yòng dào de dōng xī 。;ji lu shi wo men jing chang yong dao de dong xi 。;record is something we often use.;Daily
L3-0323;Beginner;记者;jìzhě;jizhe;reporter;经理让我去记者开会。;jīng lǐ ràng wǒ qù jì zhě kāi huì 。;jing li rang wo qu ji zhe kai hui 。;the manager asked me to have a meeting at reporter.;Office
L3-0324;Beginner;纪录;jìlù;jilu;records;纪录让人印象深刻。;jì lù ràng rén yìn xiàng shēn kè 。;ji lu rang ren yin xiang shen ke 。;records is very impressive.;Daily
L3-0325;Beginner;纪念;jìniàn;jinian;commemoration;我觉得纪念非常重要。;wǒ jué de jì niàn fēi cháng zhòng yào 。;wo jue de ji nian fei chang zhong yao 。;i think commemoration is very important.;Daily
L3-0326;Beginner;技术;jìshù;jishu;technology;技术的时候要注意安全。;jì shù de shí hòu yào zhù yì ān quán 。;ji shu de shi hou yao zhu yi an quan 。;be careful when technology.;Daily
L3-0327;Beginner;继续;jìxù;jixu;continue;你知道继续的意思吗？;nǐ zhī dào jì xù de yì si ma ？;ni zhi dao ji xu de yi si ma ？;do you know the meaning of continue?;Daily
L3-0328;Beginner;加工;jiāgōng;jiagong;processing;加工对身体有很多好处。;jiā gōng duì shēn tǐ yǒu hěn duō hǎo chù 。;jia gong dui shen ti you hen duo hao chu 。;processing has many health benefits.;Activity
L3-0329;Beginner;加快;jiākuài;jiakuai;accelerate;这个加快在日常生活中很有用。;zhè ge jiā kuài zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jia kuai zai ri chang sheng huo zhong hen you yong 。;this accelerate is very useful in daily life.;Daily
L3-0330;Beginner;加强;jiāqiáng;jiaqiang;strengthen;加强是我们经常用到的东西。;jiā qiáng shì wǒ men jīng cháng yòng dào de dōng xī 。;jia qiang shi wo men jing chang yong dao de dong xi 。;strengthen is something we often use.;Daily
L3-0331;Beginner;家具;jiājù;jiaju;furniture;请把家具递给我。;qǐng bǎ jiā jù dì gěi wǒ 。;qing ba jia ju di gei wo 。;please pass me the furniture.;Daily
L3-0332;Beginner;家属;jiāshǔ;jiashu;family;你家属最近怎么样？;nǐ jiā shǔ zuì jìn zěn me yàng ？;ni jia shu zui jin zen me yang ？;how is your family recently?;Family
L3-0333;Beginner;家乡;jiāxiāng;jiaxiang;hometown;我们全家都很爱家乡。;wǒ men quán jiā dōu hěn ài jiā xiāng 。;wo men quan jia dou hen ai jia xiang 。;our whole family loves hometown very much.;Family
L3-0334;Beginner;价格;jiàgé;jiage;price;请给我来一份价格。;qǐng gěi wǒ lái yī fèn jià gé 。;qing gei wo lai yi fen jia ge 。;please give me a serving of price.;Food
L3-0335;Beginner;价钱;jiàqián;jiaqian;price;价钱对身体有很多好处。;jià qián duì shēn tǐ yǒu hěn duō hǎo chù 。;jia qian dui shen ti you hen duo hao chu 。;price has many health benefits.;Food
L3-0336;Beginner;价值;jiàzhí;jiazhi;value;价值改变了我的生活方式。;jià zhí gǎi biàn le wǒ de shēng huó fāng shì 。;jia zhi gai bian le wo de sheng huo fang shi 。;value changed my way of life.;Daily
L3-0337;Beginner;架;jià;jia;shelf;这个架在日常生活中很有用。;zhè ge jià zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jia zai ri chang sheng huo zhong hen you yong 。;this shelf is very useful in daily life.;Daily
L3-0338;Beginner;坚持;jiānchí;jianchi;insist;坚持是我们经常用到的东西。;jiān chí shì wǒ men jīng cháng yòng dào de dōng xī 。;jian chi shi wo men jing chang yong dao de dong xi 。;insist is something we often use.;Daily
L3-0339;Beginner;坚决;jiānjué;jianjue;determined;请把坚决递给我。;qǐng bǎ jiān jué dì gěi wǒ 。;qing ba jian jue di gei wo 。;please pass me the determined.;Daily
L3-0340;Beginner;坚强;jiānqiáng;jianqiang;strong;坚强让人印象深刻。;jiān qiáng ràng rén yìn xiàng shēn kè 。;jian qiang rang ren yin xiang shen ke 。;strong is very impressive.;Daily
L3-0341;Beginner;简单;jiǎndān;jiandan;simple;我觉得简单非常重要。;wǒ jué de jiǎn dān fēi cháng zhòng yào 。;wo jue de jian dan fei chang zhong yao 。;i think simple is very important.;Daily
L3-0342;Beginner;简直;jiǎnzhí;jianzhi;simple;简直的时候要注意安全。;jiǎn zhí de shí hòu yào zhù yì ān quán 。;jian zhi de shi hou yao zhu yi an quan 。;be careful when simple.;Daily
L3-0343;Beginner;建;jiàn;jian;establish;你知道建的意思吗？;nǐ zhī dào jiàn de yì si ma ？;ni zhi dao jian de yi si ma ？;do you know the meaning of establish?;Daily
L3-0344;Beginner;建成;jiànchéng;jiancheng;completed;建成改变了我的生活方式。;jiàn chéng gǎi biàn le wǒ de shēng huó fāng shì 。;jian cheng gai bian le wo de sheng huo fang shi 。;completed changed my way of life.;Daily
L3-0345;Beginner;建立;jiànlì;jianli;establish;这个建立在日常生活中很有用。;zhè ge jiàn lì zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jian li zai ri chang sheng huo zhong hen you yong 。;this establish is very useful in daily life.;Daily
L3-0346;Beginner;建设;jiànshè;jianshe;construction;建设是我们经常用到的东西。;jiàn shè shì wǒ men jīng cháng yòng dào de dōng xī 。;jian she shi wo men jing chang yong dao de dong xi 。;construction is something we often use.;Daily
L3-0347;Beginner;建议;jiànyì;jianyi;suggestion;请把建议递给我。;qǐng bǎ jiàn yì dì gěi wǒ 。;qing ba jian yi di gei wo 。;please pass me the suggestion.;Daily
L3-0348;Beginner;将近;jiāngjìn;jiangjin;near;将近让人印象深刻。;jiāng jìn ràng rén yìn xiàng shēn kè 。;jiang jin rang ren yin xiang shen ke 。;near is very impressive.;Daily
L3-0349;Beginner;将来;jiānglái;jianglai;future;我觉得将来非常重要。;wǒ jué de jiāng lái fēi cháng zhòng yào 。;wo jue de jiang lai fei chang zhong yao 。;i think future is very important.;Daily
L3-0350;Beginner;交费;jiāofèi;jiaofei;pay;这个交费的质量怎么样？;zhè ge jiāo fèi de zhì liàng zěn me yàng ？;zhe ge jiao fei de zhi liang zen me yang ？;how is the quality of this pay?;Shopping
L3-0351;Beginner;交警;jiāojǐng;jiaojing;traffic police;明天我们交警去海边玩。;míng tiān wǒ men jiāo jǐng qù hǎi biān wán 。;ming tian wo men jiao jing qu hai bian wan 。;tomorrow we'll traffic police to the seaside to play.;Transport
L3-0352;Beginner;交流;jiāoliú;jiaoliu;comminicate;交流改变了我的生活方式。;jiāo liú gǎi biàn le wǒ de shēng huó fāng shì 。;jiao liu gai bian le wo de sheng huo fang shi 。;comminicate changed my way of life.;Daily
L3-0353;Beginner;交往;jiāowǎng;jiaowang;interaction;这个交往在日常生活中很有用。;zhè ge jiāo wǎng zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jiao wang zai ri chang sheng huo zhong hen you yong 。;this interaction is very useful in daily life.;Daily
L3-0354;Beginner;交易;jiāoyì;jiaoyi;trade;交易是我们经常用到的东西。;jiāo yì shì wǒ men jīng cháng yòng dào de dōng xī 。;jiao yi shi wo men jing chang yong dao de dong xi 。;trade is something we often use.;Daily
L3-0355;Beginner;叫;jiào;jiao;call;他叫我的名字。;tā jiào wǒ de míng zì 。;ta jiao wo de ming zi 。;he called my name.;Activity
L3-0356;Beginner;较;jiào;jiao;較;较让人印象深刻。;jiào ràng rén yìn xiàng shēn kè 。;jiao rang ren yin xiang shen ke 。;較 is very impressive.;Daily
L3-0357;Beginner;教材;jiàocái;jiaocai;textbooks;教材的成绩进步很快。;jiào cái de chéng jì jìn bù hěn kuài 。;jiao cai de cheng ji jin bu hen kuai 。;textbooks's grades are improving quickly.;School
L3-0358;Beginner;教练;jiàoliàn;jiaolian;coach;教练的时候要注意安全。;jiào liàn de shí hòu yào zhù yì ān quán 。;jiao lian de shi hou yao zhu yi an quan 。;be careful when coach.;Daily
L3-0359;Beginner;结实;jiēshi;jieshi;sturdy;你知道结实的意思吗？;nǐ zhī dào jiē shí de yì si ma ？;ni zhi dao jie shi de yi si ma ？;do you know the meaning of sturdy?;Daily
L3-0360;Beginner;接待;jiēdài;jiedai;reception;接待改变了我的生活方式。;jiē dài gǎi biàn le wǒ de shēng huó fāng shì 。;jie dai gai bian le wo de sheng huo fang shi 。;reception changed my way of life.;Daily
L3-0361;Beginner;接近;jiējìn;jiejin;near;这个接近在日常生活中很有用。;zhè ge jiē jìn zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jie jin zai ri chang sheng huo zhong hen you yong 。;this near is very useful in daily life.;Daily
L3-0362;Beginner;节约;jiéyuē;jieyue;save;节约是我们经常用到的东西。;jié yuē shì wǒ men jīng cháng yòng dào de dōng xī 。;jie yue shi wo men jing chang yong dao de dong xi 。;save is something we often use.;Daily
L3-0363;Beginner;结合;jiéhé;jiehe;combination;请把结合递给我。;qǐng bǎ jié hé dì gěi wǒ 。;qing ba jie he di gei wo 。;please pass me the combination.;Daily
L3-0364;Beginner;结婚;jiéhūn;jiehun;marry;结婚让人印象深刻。;jié hūn ràng rén yìn xiàng shēn kè 。;jie hun rang ren yin xiang shen ke 。;marry is very impressive.;Daily
L3-0365;Beginner;结束;jiéshù;jieshu;end;我觉得结束非常重要。;wǒ jué de jié shù fēi cháng zhòng yào 。;wo jue de jie shu fei chang zhong yao 。;i think end is very important.;Daily
L3-0366;Beginner;解决;jiějué;jiejue;solve;解决的时候要注意安全。;jiě jué de shí hòu yào zhù yì ān quán 。;jie jue de shi hou yao zhu yi an quan 。;be careful when solve.;Daily
L3-0367;Beginner;解开;jiěkāi;jiekai;unlock;你知道解开的意思吗？;nǐ zhī dào jiě kāi de yì si ma ？;ni zhi dao jie kai de yi si ma ？;do you know the meaning of unlock?;Daily
L3-0368;Beginner;金;jīn;jin;gold;金改变了我的生活方式。;jīn gǎi biàn le wǒ de shēng huó fāng shì 。;jin gai bian le wo de sheng huo fang shi 。;gold changed my way of life.;Daily
L3-0369;Beginner;金牌;jīnpái;jinpai;gold medal;这个金牌在日常生活中很有用。;zhè ge jīn pái zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jin pai zai ri chang sheng huo zhong hen you yong 。;this gold medal is very useful in daily life.;Daily
L3-0370;Beginner;仅;jǐn;jin;only;仅是我们经常用到的东西。;jǐn shì wǒ men jīng cháng yòng dào de dōng xī 。;jin shi wo men jing chang yong dao de dong xi 。;only is something we often use.;Daily
L3-0371;Beginner;仅仅;jǐnjǐn;jinjin;only;请把仅仅递给我。;qǐng bǎ jǐn jǐn dì gěi wǒ 。;qing ba jin jin di gei wo 。;please pass me the only.;Daily
L3-0372;Beginner;尽量;jǐnliàng;jinliang;as much as possible;尽量让人印象深刻。;jǐn liàng ràng rén yìn xiàng shēn kè 。;jin liang rang ren yin xiang shen ke 。;as much as possible is very impressive.;Daily
L3-0373;Beginner;紧;jǐn;jin;tight;我觉得紧非常重要。;wǒ jué de jǐn fēi cháng zhòng yào 。;wo jue de jin fei chang zhong yao 。;i think tight is very important.;Daily
L3-0374;Beginner;紧急;jǐnjí;jinji;urgent;紧急的时候要注意安全。;jǐn jí de shí hòu yào zhù yì ān quán 。;jin ji de shi hou yao zhu yi an quan 。;be careful when urgent.;Daily
L3-0375;Beginner;紧张;jǐnzhāng;jinzhang;nervous;大家都紧张极了！;dà jiā dōu jǐn zhāng jí le ！;da jia dou jin zhang ji le ！;everyone is extremely nervous!;Emotion
L3-0376;Beginner;进步;jìnbù;jinbu;progress;进步改变了我的生活方式。;jìn bù gǎi biàn le wǒ de shēng huó fāng shì 。;jin bu gai bian le wo de sheng huo fang shi 。;progress changed my way of life.;Daily
L3-0377;Beginner;进一步;jìnyībù;jinyibu;further;这个进一步在日常生活中很有用。;zhè ge jìn yí bù zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jin yi bu zai ri chang sheng huo zhong hen you yong 。;this further is very useful in daily life.;Daily
L3-0378;Beginner;进展;jìnzhǎn;jinzhan;progress;进展是我们经常用到的东西。;jìn zhǎn shì wǒ men jīng cháng yòng dào de dōng xī 。;jin zhan shi wo men jing chang yong dao de dong xi 。;progress is something we often use.;Daily
L3-0379;Beginner;近期;jìnqī;jinqi;recently;请把近期递给我。;qǐng bǎ jìn qī dì gěi wǒ 。;qing ba jin qi di gei wo 。;please pass me the recently.;Daily
L3-0380;Beginner;京剧;jīngjù;jingju;peking opera;京剧让人印象深刻。;jīng jù ràng rén yìn xiàng shēn kè 。;jing ju rang ren yin xiang shen ke 。;peking opera is very impressive.;Daily
L3-0381;Beginner;经济;jīngjì;jingji;economy;我觉得经济非常重要。;wǒ jué de jīng jì fēi cháng zhòng yào 。;wo jue de jing ji fei chang zhong yao 。;i think economy is very important.;Daily
L3-0382;Beginner;经历;jīnglì;jingli;experience;经历的时候要注意安全。;jīng lì de shí hòu yào zhù yì ān quán 。;jing li de shi hou yao zhu yi an quan 。;be careful when experience.;Daily
L3-0383;Beginner;经验;jīngyàn;jingyan;experience;你知道经验的意思吗？;nǐ zhī dào jīng yàn de yì si ma ？;ni zhi dao jing yan de yi si ma ？;do you know the meaning of experience?;Daily
L3-0384;Beginner;经营;jīngyíng;jingying;business;经营的电话一直占线。;jīng yíng de diàn huà yì zhí zhàn xiàn 。;jing ying de dian hua yi zhi zhan xian 。;business's phone line is always busy.;Office
L3-0385;Beginner;精彩;jīngcǎi;jingcai;wonderful;这个精彩在日常生活中很有用。;zhè ge jīng cǎi zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge jing cai zai ri chang sheng huo zhong hen you yong 。;this wonderful is very useful in daily life.;Daily
L3-0386;Beginner;精神;jīngshén;jingshen;spirit;精神是我们经常用到的东西。;jīng shén shì wǒ men jīng cháng yòng dào de dōng xī 。;jing shen shi wo men jing chang yong dao de dong xi 。;spirit is something we often use.;Daily
L3-0387;Beginner;精神;jīngshen;jingshen;spirit;请把精神递给我。;qǐng bǎ jīng shén dì gěi wǒ 。;qing ba jing shen di gei wo 。;please pass me the spirit.;Daily
L3-0388;Beginner;景色;jǐngsè;jingse;view;景色让人印象深刻。;jǐng sè ràng rén yìn xiàng shēn kè 。;jing se rang ren yin xiang shen ke 。;view is very impressive.;Daily
L3-0389;Beginner;警察;jǐngchá;jingcha;police;警察帮了我一个大忙。;jǐng chá bāng le wǒ yí gè dà máng 。;jing cha bang le wo yi ge da mang 。;police helped me a great deal.;People
L3-0390;Beginner;静;jìng;jing;quiet;静的时候要注意安全。;jìng de shí hòu yào zhù yì ān quán 。;jing de shi hou yao zhu yi an quan 。;be careful when quiet.;Daily
L3-0391;Beginner;久;jiǔ;jiu;long;你知道久的意思吗？;nǐ zhī dào jiǔ de yì si ma ？;ni zhi dao jiu de yi si ma ？;do you know the meaning of long?;Daily
